id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
107,153,Visa,Debit,4382324870900908.0,08/2018,852,YES,1,32092.0,2006-01-01,2010
440,153,Mastercard,Debit,5456808094753905.0,02/2020,217,YES,1,20463.0,2020-01-01,2020
974,511,Mastercard,Debit (Prepaid),5117090980312402.0,10/2020,42,YES,1,73.0,2000-02-01,2012
4707,511,Mastercard,Debit,5377858405611171.0,01/2024,24,YES,1,11858.0,2009-09-01,2010
7,511,Mastercard,Debit,5585238056278288.0,03/2005,749,YES,1,9664.0,1998-01-01,2011
2212,511,Mastercard,Debit,5355281784290567.0,06/2020,810,YES,1,8367.0,2009-03-01,2009
1038,511,Visa,Credit,4150093118072730.0,06/2022,135,YES,2,6100.0,2004-02-01,2009
3679,1946,Visa,Debit,4869845530765333.0,08/2024,701,YES,2,4488.0,2002-07-01,2015
5701,1946,Visa,Credit,4231526239204033.0,02/2020,499,YES,2,12500.0,2014-11-01,2014
4510,1674,Mastercard,Debit,5813611925507601.0,12/2020,734,YES,2,23432.0,2001-09-01,2008
2873,1674,Amex,Credit,366521000000000.0,05/2022,447,YES,2,8800.0,2005-05-01,2011
442,877,Mastercard,Debit,5048151330736425.0,02/2020,931,YES,1,9708.0,2020-01-01,2020
3877,877,Amex,Credit,371643000000000.0,11/2021,683,YES,2,12000.0,2009-07-01,2011
2296,877,Mastercard,Debit,5700734711260263.0,11/2023,230,YES,1,11973.0,2012-03-01,2012
5048,128,Mastercard,Debit,5389442391430673.0,02/2022,658,YES,2,13601.0,2006-10-01,2014
1462,128,Mastercard,Credit,5079116875907423.0,01/2024,849,YES,2,7800.0,2020-02-01,2020
3041,140,Mastercard,Debit,5529182104663869.0,01/2022,182,YES,1,19110.0,2010-05-01,2011
5312,140,Mastercard,Debit,5489017664251289.0,08/2023,196,YES,1,13428.0,2016-10-01,2016
4150,140,Mastercard,Debit,5793675314684781.0,06/2022,43,YES,1,24608.0,2005-08-01,2009
152,140,Mastercard,Debit,5845373196638993.0,09/2022,111,YES,1,13441.0,2008-01-01,2011
3377,1874,Mastercard,Debit,5429789020188285.0,10/2012,674,YES,1,17872.0,2008-06-01,2008
5789,1874,Mastercard,Credit,5301114615829913.0,09/2022,425,YES,1,12900.0,2003-12-01,2010
2106,1874,Mastercard,Debit,5571104183564029.0,05/2024,52,YES,2,25264.0,2006-03-01,2020
2078,1874,Mastercard,Debit,5401948301255038.0,12/2022,920,YES,2,20634.0,2005-03-01,2007
327,379,Amex,Credit,354813000000000.0,06/2021,527,YES,2,8400.0,2014-01-01,2014
2019,379,Mastercard,Debit,5910929635230868.0,02/2020,525,YES,1,21628.0,2001-03-01,2008
3881,379,Mastercard,Debit,5400182448188961.0,10/2021,412,YES,1,24232.0,2009-07-01,2009
1166,34,Mastercard,Debit,5039048842448184.0,11/2023,339,YES,2,10775.0,2009-02-01,2010
3342,34,Mastercard,Debit (Prepaid),5672012369002302.0,02/2020,598,YES,2,105.0,2007-06-01,2013
5622,822,Visa,Credit,4336733185475861.0,01/2021,221,NO,2,7100.0,2010-11-01,2010
5424,822,Mastercard,Debit,5985582173054292.0,07/2024,951,YES,1,29351.0,2005-11-01,2007
2558,822,Mastercard,Debit,5281056728185174.0,03/2020,835,YES,2,15125.0,2008-04-01,2012
5385,822,Mastercard,Credit,5615660494634705.0,11/2021,865,YES,2,8000.0,2003-11-01,2008
5596,822,Mastercard,Debit (Prepaid),5314878099448745.0,05/2011,994,YES,1,83.0,2010-11-01,2010
3991,1499,Amex,Credit,311095000000000.0,01/2024,536,YES,2,23700.0,2012-07-01,2012
971,811,Visa,Credit,4171022488649333.0,01/2002,225,NO,1,24900.0,1999-02-01,2010
2079,811,Mastercard,Debit,5246337038556761.0,06/2021,638,YES,2,30971.0,2005-03-01,2020
387,811,Amex,Credit,399966000000000.0,01/2024,343,YES,1,24400.0,2020-01-01,2020
444,811,Mastercard,Debit,5064137987234665.0,02/2020,599,YES,2,53549.0,2020-01-01,2020
5277,811,Visa,Debit,4905540969337037.0,09/2018,573,YES,1,53036.0,2013-10-01,2013
4358,811,Mastercard,Debit,5703849820939467.0,12/2024,300,YES,1,35750.0,2011-08-01,2011
2318,811,Visa,Debit,4055403312631050.0,07/2021,902,YES,1,33375.0,2013-03-01,2013
6019,1844,Visa,Debit (Prepaid),4587476056357151.0,07/2023,858,YES,2,22.0,2010-12-01,2010
4421,1844,Discover,Credit,6521426249819196.0,11/2020,608,YES,1,13100.0,2014-08-01,2014
3702,1844,Visa,Debit,4199712815274632.0,10/2024,440,YES,1,16516.0,2003-07-01,2011
2854,1844,Mastercard,Credit,5172743861765175.0,07/2016,906,YES,1,15700.0,2004-05-01,2011
4114,1844,Mastercard,Debit,5214643602729093.0,05/2024,474,YES,1,21058.0,2003-08-01,2007
28,1852,Visa,Debit,4013876625955765.0,10/2023,543,YES,2,36425.0,2002-01-01,2004
6127,1852,Visa,Debit (Prepaid),4966050979388902.0,03/2021,585,YES,2,91.0,2016-12-01,2016
2477,1852,Mastercard,Credit,5247576622089394.0,09/2021,379,YES,1,13400.0,2005-04-01,2014
2632,1852,Mastercard,Credit,5911319900289832.0,04/2021,37,YES,2,21600.0,2010-04-01,2010
5679,970,Visa,Debit,4682877628388639.0,02/2023,846,NO,1,25942.0,2012-11-01,2012
1012,970,Mastercard,Credit,5882842508952744.0,07/2019,614,YES,2,10700.0,2003-02-01,2013
1464,970,Mastercard,Credit,5637149260486793.0,07/2022,630,YES,2,4900.0,2020-02-01,2020
3708,1296,Mastercard,Debit,5033428838471726.0,02/2020,546,YES,2,22660.0,2004-07-01,2007
3087,1296,Discover,Credit,6969946254132652.0,12/2022,588,YES,1,19800.0,2011-05-01,2011
67,1296,Mastercard,Credit,5181226307106931.0,11/2024,820,YES,2,15500.0,2005-01-01,2014
80,1296,Visa,Debit (Prepaid),4310689470082080.0,06/2023,458,YES,1,13.0,2005-01-01,2008
3665,1296,Mastercard,Debit,5051066154001741.0,06/2021,526,YES,2,4317.0,2001-07-01,2011
2014,1880,Mastercard,Debit,5456915066505066.0,12/2021,553,NO,1,14719.0,2000-03-01,2008
4906,1880,Mastercard,Debit,5132664334960880.0,05/2021,593,YES,1,9532.0,2017-09-01,2017
3757,1880,Mastercard,Credit,5752873844240568.0,03/2020,486,YES,1,10900.0,2006-07-01,2014
5365,322,Mastercard,Credit,5494228198326752.0,09/2024,428,YES,2,6200.0,2001-11-01,2012
5425,322,Mastercard,Debit,5789639625525459.0,12/2012,43,YES,2,2903.0,2005-11-01,2011
5758,322,Mastercard,Debit,5392957769023387.0,10/2020,803,YES,2,4355.0,1999-12-01,2010
5482,461,Mastercard,Debit,5182820825620434.0,04/2021,126,YES,1,28963.0,2007-11-01,2012
3172,461,Mastercard,Debit,5102353988152905.0,12/2022,667,YES,2,20913.0,2016-05-01,2016
1209,461,Mastercard,Debit,5033135709911480.0,07/2024,170,YES,1,23344.0,2010-02-01,2010
5313,461,Mastercard,Debit,5611522756791997.0,01/2020,882,YES,2,33642.0,2016-10-01,2016
126,1448,Mastercard,Credit,5571363047071896.0,09/2023,510,YES,1,13200.0,2007-01-01,2015
4685,1448,Visa,Debit,4083033843851772.0,01/2020,173,YES,1,29950.0,2008-09-01,2013
5907,1448,Visa,Credit,4829916759482899.0,07/2024,768,YES,2,4600.0,2007-12-01,2011
2428,1288,Mastercard,Debit,5458492483408549.0,12/2022,92,YES,1,10051.0,2002-04-01,2011
1013,1288,Mastercard,Debit,5879094230635425.0,12/2015,729,YES,2,9796.0,2003-02-01,2013
5129,1391,Visa,Debit,4194362281636453.0,10/2024,271,YES,2,29573.0,2008-10-01,2009
5995,1391,Mastercard,Debit (Prepaid),5436469451844829.0,12/2021,48,YES,2,98.0,2010-12-01,2010
4107,1391,Mastercard,Debit,5648865641388293.0,08/2019,71,YES,2,2559.0,2002-08-01,2012
36,1391,Mastercard,Debit,5914243757284149.0,10/2012,436,YES,2,6552.0,2003-01-01,2010
3801,1452,Mastercard,Debit,5476407228285230.0,11/2022,688,YES,2,53466.0,2007-07-01,2013
282,1602,Visa,Credit,4698943729070491.0,09/2020,450,YES,1,6600.0,2011-01-01,2013
6105,1602,Mastercard,Credit,5579147219556308.0,06/2022,806,NO,2,7200.0,2015-12-01,2015
5231,1492,Mastercard,Debit,5188130978534931.0,01/2022,446,YES,1,12915.0,2011-10-01,2013
2615,1492,Visa,Debit (Prepaid),4860320285002452.0,12/2023,366,YES,2,84.0,2009-04-01,2017
2776,1492,Discover,Credit,6417599205270844.0,07/2021,504,YES,2,17600.0,2018-04-01,2018
5452,1492,Mastercard,Debit,5516722949603675.0,12/2012,621,YES,1,31542.0,2006-11-01,2009
3563,1492,Mastercard,Debit,5891053637541514.0,02/2022,362,YES,2,23049.0,2013-06-01,2013
6134,1492,Visa,Debit,4222570131769035.0,05/2020,141,YES,1,29734.0,2017-12-01,2017
4818,1492,Visa,Credit,4453742478192143.0,01/2020,346,YES,2,27000.0,2011-09-01,2016
2171,1492,Mastercard,Debit (Prepaid),5335984658439104.0,11/2022,320,YES,1,18.0,2008-03-01,2010
6106,688,Mastercard,Debit,5708150083756692.0,04/2023,824,YES,1,17848.0,2015-12-01,2015
3042,688,Mastercard,Debit,5238684130320063.0,11/2022,870,NO,1,25563.0,2010-05-01,2010
5209,688,Visa,Credit,4740880792169372.0,04/2020,168,YES,2,12000.0,2010-10-01,2010
1296,688,Amex,Credit,361649000000000.0,11/2018,709,NO,2,6600.0,2012-02-01,2012
1395,643,Amex,Credit,381573000000000.0,08/2024,145,YES,1,10000.0,2020-02-01,2020
5597,643,Mastercard,Credit,5079302523329059.0,04/2023,381,YES,2,500.0,2010-11-01,2010
1468,1219,Mastercard,Debit,5546998350637125.0,02/2020,718,YES,1,22697.0,2020-02-01,2020
2309,1219,Mastercard,Credit,5326031764905960.0,08/2023,437,YES,1,18000.0,2013-03-01,2013
3466,1219,Mastercard,Debit,5096150037217374.0,10/2024,862,YES,1,32903.0,2010-06-01,2010
2804,1198,Visa,Debit,4489873116412364.0,08/2021,547,YES,2,12764.0,1999-05-01,2010
1388,1198,Mastercard,Credit,5621725368325863.0,10/2022,60,YES,1,6300.0,2019-02-01,2019
4660,898,Mastercard,Debit,5923138803280580.0,02/2022,934,YES,2,7541.0,2008-09-01,2013
3356,898,Visa,Debit,4447989421793048.0,03/2022,995,YES,2,1266.0,2007-06-01,2012
4870,898,Mastercard,Credit,5000307662634780.0,04/2020,263,NO,1,9500.0,2014-09-01,2014
3467,882,Mastercard,Debit,5707305515533516.0,04/2020,203,YES,2,1837.0,2010-06-01,2010
1079,882,Mastercard,Debit,5864987017850552.0,08/2023,258,YES,2,17453.0,2006-02-01,2008
2977,348,Visa,Debit,4228885239928189.0,10/2013,543,NO,1,28283.0,2008-05-01,2012
3073,348,Visa,Credit,4210237285941913.0,04/2020,160,YES,1,13500.0,2010-05-01,2012
3554,348,Visa,Credit,4877073763902898.0,07/2014,786,YES,2,13300.0,2012-06-01,2012
2597,633,Mastercard,Debit,5558040779986506.0,09/2021,69,YES,2,17941.0,2009-04-01,2009
3489,1493,Visa,Credit,4642496218651973.0,04/2018,594,YES,1,14400.0,2010-06-01,2012
4003,1493,Visa,Credit,4244401907291512.0,04/2020,120,YES,1,4400.0,2012-07-01,2012
1469,1493,Mastercard,Credit,5157439545898691.0,03/2020,657,YES,1,13000.0,2020-02-01,2020
1774,1493,Visa,Debit,4079516725179269.0,04/2023,72,YES,2,22701.0,2020-02-01,2020
2691,217,Mastercard,Debit,5565497732362129.0,03/2022,430,NO,1,16538.0,2012-04-01,2012
174,217,Visa,Debit,4072893581482208.0,12/2020,578,YES,2,22746.0,2008-01-01,2010
1364,217,Mastercard,Debit,5161929618424764.0,07/2016,743,YES,1,9737.0,2016-02-01,2016
1266,217,Mastercard,Credit,5359358098670039.0,07/2019,428,YES,1,6500.0,2011-02-01,2014
1267,217,Mastercard,Debit,5093514487076217.0,06/2020,889,YES,2,2650.0,2011-02-01,2013
207,217,Visa,Credit,4409790595650716.0,05/2012,839,YES,2,8200.0,2009-01-01,2011
5448,217,Amex,Credit,373326000000000.0,01/2022,204,YES,2,6200.0,2006-11-01,2013
5449,1877,Amex,Credit,366837000000000.0,01/2021,803,YES,2,22600.0,2006-11-01,2014
2107,1877,Mastercard,Debit,5260255791659846.0,05/2024,428,YES,2,6940.0,2006-03-01,2009
2398,1877,Mastercard,Debit,5911939393457828.0,03/2024,410,YES,2,23408.0,1996-04-01,2008
5414,1877,Visa,Credit,4226284680001632.0,09/2022,966,YES,2,9700.0,2004-11-01,2007
3758,668,Mastercard,Debit,5624997997810589.0,06/2024,992,NO,2,10538.0,2006-07-01,2006
4097,668,Mastercard,Debit,5752209560237460.0,03/2023,385,YES,2,6853.0,2001-08-01,2006
5778,668,Mastercard,Debit,5470018669871087.0,10/2020,598,YES,2,607.0,2002-12-01,2010
4318,668,Mastercard,Credit,5764603958082866.0,08/2021,397,YES,1,0.0,2010-08-01,2010
5015,668,Visa,Debit,4378354586828464.0,06/2021,644,YES,2,8253.0,2004-10-01,2011
242,203,Visa,Credit,4716309780327853.0,07/2022,275,YES,1,9100.0,2010-01-01,2010
3966,203,Mastercard,Credit,5175414290540891.0,04/2022,497,NO,2,2600.0,2011-07-01,2011
5375,203,Mastercard,Credit,5079431552272493.0,05/2024,813,NO,1,7300.0,2002-11-01,2010
5978,1487,Visa,Debit,4911894810892317.0,06/2024,769,YES,1,26083.0,2009-12-01,2009
2978,1487,Visa,Debit,4394014058373538.0,10/2022,943,YES,1,31589.0,2008-05-01,2008
4946,1487,Visa,Credit,4984110253172329.0,06/2021,453,YES,2,24200.0,2000-10-01,2013
5376,370,Mastercard,Debit,5377126168537132.0,10/2022,94,YES,2,7551.0,2002-11-01,2010
4127,370,Mastercard,Debit,5606824501502078.0,06/2014,451,YES,1,15377.0,2004-08-01,2011
5093,370,Visa,Debit,4501704511432206.0,03/2023,324,YES,1,12990.0,2007-10-01,2016
3490,370,Visa,Debit,4015096339812707.0,02/2023,494,YES,1,8509.0,2010-06-01,2010
3862,985,Visa,Credit,4229889369220690.0,04/2024,82,YES,2,13200.0,2008-07-01,2010
1268,985,Mastercard,Credit,5936949471946678.0,10/2022,372,YES,2,16000.0,2011-02-01,2012
752,985,Visa,Debit,4748458102584203.0,07/2024,223,YES,2,18132.0,2020-01-01,2020
2704,985,Visa,Credit,4862788591864799.0,02/2019,466,YES,1,300.0,2012-04-01,2012
2808,135,Mastercard,Debit,5736838327060448.0,11/2022,714,YES,2,2236.0,2000-05-01,2015
4791,135,Visa,Debit,4528854599819268.0,08/2019,451,YES,2,21591.0,2010-09-01,2010
4112,1783,Amex,Credit,323782000000000.0,03/2020,659,YES,1,9800.0,2003-08-01,2010
1154,1783,Visa,Credit,4172882144788973.0,03/2012,902,YES,2,11300.0,2008-02-01,2009
2598,1783,Mastercard,Credit,5153494647482349.0,10/2019,492,YES,1,8400.0,2009-04-01,2011
10,1783,Mastercard,Debit,5513208341097350.0,12/2023,789,YES,1,16597.0,1999-01-01,2009
4655,1783,Amex,Credit,316139000000000.0,09/2020,876,YES,2,9400.0,2008-09-01,2008
3357,1511,Visa,Debit,4725438629956463.0,06/2022,675,YES,1,24806.0,2007-06-01,2007
5502,1511,Visa,Debit,4992990568824247.0,05/2023,457,YES,1,19856.0,2007-11-01,2011
1238,900,Visa,Debit (Prepaid),4580252759299284.0,02/2021,397,YES,2,68.0,2010-02-01,2010
3412,900,Amex,Credit,347103000000000.0,12/2022,791,YES,2,4900.0,2009-06-01,2009
1297,233,Amex,Credit,374396000000000.0,03/2024,659,YES,2,13700.0,2012-02-01,2012
5167,1069,Visa,Debit,4439832703761219.0,08/2020,424,YES,2,2292.0,2009-10-01,2015
3922,1069,Amex,Credit,304372000000000.0,03/2021,495,YES,1,8800.0,2010-07-01,2010
5453,180,Mastercard,Credit,5881384408371205.0,03/2023,312,NO,2,7600.0,2006-11-01,2009
2888,180,Visa,Credit,4966727954053977.0,11/2021,756,YES,2,6200.0,2005-05-01,2018
3208,996,Mastercard,Credit,5784959743819578.0,07/2023,348,YES,1,12900.0,1999-06-01,2011
4661,996,Mastercard,Debit,5617375085275816.0,06/2022,228,YES,2,18820.0,2008-09-01,2015
3277,996,Visa,Debit,4813292561037475.0,07/2005,979,YES,2,16167.0,2004-06-01,2009
1107,996,Mastercard,Credit,5659042637826477.0,06/2023,857,YES,2,4200.0,2007-02-01,2011
3310,996,Mastercard,Debit,5691123059106648.0,08/2024,190,YES,2,18861.0,2006-06-01,2011
1279,996,Visa,Debit,4803335286454198.0,02/2020,568,NO,1,27231.0,2011-02-01,2011
2108,1981,Mastercard,Debit,5550999995379539.0,07/2020,980,YES,2,13595.0,2006-03-01,2010
5143,1981,Discover,Credit,6616646974839947.0,11/2009,72,NO,2,12300.0,2009-10-01,2009
4151,1981,Mastercard,Credit,5384097503885721.0,02/2019,704,YES,2,12300.0,2005-08-01,2009
3606,1981,Mastercard,Debit,5082019741631139.0,04/2021,459,YES,1,20743.0,2016-06-01,2016
3248,1981,Mastercard,Debit,5843429452249829.0,08/2021,570,YES,2,17706.0,2003-06-01,2010
2996,1981,Mastercard,Debit,5898198294277172.0,08/2022,332,YES,2,20962.0,2009-05-01,2009
4,1981,Mastercard,Debit,5433366978583845.0,03/2024,530,YES,2,19439.0,1997-01-01,2007
3257,870,Visa,Debit,4073664438482773.0,03/2022,973,NO,1,30160.0,2003-06-01,2017
3626,870,Amex,Credit,349089000000000.0,06/2022,652,YES,2,0.0,2018-06-01,2018
1039,870,Visa,Debit,4701143570043786.0,11/2012,807,NO,1,28937.0,2004-02-01,2008
2080,16,Mastercard,Debit (Prepaid),5151149006132572.0,05/2020,636,NO,2,22.0,2005-03-01,2011
49,16,Mastercard,Debit,5289860104321083.0,08/2015,59,YES,2,1575.0,2004-01-01,2005
4964,16,Mastercard,Debit,5496658602251095.0,12/2020,962,YES,2,7562.0,2002-10-01,2011
4093,16,Mastercard,Debit,5571413073625472.0,05/2024,741,YES,2,17211.0,1999-08-01,2013
2979,16,Visa,Credit,4255418851751854.0,06/2010,361,NO,2,9500.0,2008-05-01,2010
3513,46,Mastercard,Debit,5718393085724653.0,11/2022,117,YES,2,24191.0,2011-06-01,2011
3732,46,Mastercard,Debit (Prepaid),5358119472579247.0,03/2023,129,YES,2,68.0,2005-07-01,2006
2925,46,Mastercard,Debit,5615933957470022.0,02/2020,432,YES,2,8037.0,2007-05-01,2010
1167,46,Mastercard,Debit (Prepaid),5310685272979011.0,02/2018,830,YES,2,97.0,2009-02-01,2015
1298,697,Mastercard,Debit,5139001522381220.0,04/2021,740,YES,2,20195.0,2012-02-01,2012
3640,697,Mastercard,Debit,5420521698473433.0,07/2019,257,YES,2,39818.0,2019-06-01,2019
3074,697,Visa,Debit,4873407892539448.0,09/2018,423,YES,2,33736.0,2010-05-01,2010
4239,1269,Mastercard,Debit,5205177909482379.0,11/2011,911,YES,2,17850.0,2008-08-01,2008
4147,1269,Amex,Credit,324624000000000.0,02/2021,846,YES,2,11300.0,2005-08-01,2008
3075,1782,Visa,Debit,4853013168432421.0,09/2015,554,NO,2,1981.0,2010-05-01,2014
4289,1782,Mastercard,Debit,5770027992115355.0,07/2024,811,YES,1,15695.0,2009-08-01,2010
2172,1782,Mastercard,Debit,5305462513282842.0,06/2014,605,YES,2,23475.0,2008-03-01,2011
5366,1977,Mastercard,Credit,5656749855983523.0,06/2017,315,YES,1,12900.0,2001-11-01,2011
2673,1977,Mastercard,Debit (Prepaid),5755720451424427.0,02/2021,988,YES,1,91.0,2011-04-01,2011
965,1977,Mastercard,Debit,5833925436440570.0,10/2022,344,YES,2,15341.0,1999-02-01,2014
3300,1913,Visa,Debit,4082503635321960.0,04/2008,947,NO,2,21370.0,2005-06-01,2010
5226,1913,Amex,Credit,356204000000000.0,12/2022,312,YES,2,16700.0,2011-10-01,2011
5477,1913,Amex,Credit,356951000000000.0,10/2024,952,YES,1,17800.0,2007-11-01,2011
5877,1913,Mastercard,Credit,5697567028506344.0,11/2020,356,YES,2,16200.0,2007-12-01,2011
3084,1913,Amex,Credit,333505000000000.0,12/2020,276,YES,1,17700.0,2011-05-01,2013
13,858,Mastercard,Credit,5106045376475662.0,03/2021,686,YES,1,14600.0,2000-01-01,2012
4735,858,Visa,Credit,4899127312611091.0,07/2024,490,YES,2,10700.0,2009-09-01,2011
2633,858,Mastercard,Debit (Prepaid),5241392304445807.0,07/2023,137,YES,1,89.0,2010-04-01,2010
5925,1564,Mastercard,Credit,5272030426588008.0,12/2023,905,YES,2,8200.0,2008-12-01,2010
4240,1564,Mastercard,Credit,5399201189421219.0,06/2021,479,YES,1,6100.0,2008-08-01,2008
3514,1564,Mastercard,Debit,5158754138100901.0,07/2024,813,YES,1,15820.0,2011-06-01,2011
3136,1301,Visa,Debit,4199613929770276.0,09/2023,765,YES,1,22833.0,2013-05-01,2013
755,1301,Visa,Debit,4912898188628991.0,11/2022,446,YES,1,48502.0,2020-01-01,2020
2787,1301,Visa,Debit,4729953228374508.0,07/2022,461,YES,2,34888.0,2019-04-01,2019
4435,1301,Visa,Debit,4164595738782783.0,08/2019,90,NO,1,29503.0,2014-08-01,2014
378,1301,Mastercard,Debit,5036328460113700.0,08/2021,627,YES,2,19570.0,2019-01-01,2019
3189,1301,Mastercard,Debit,5975006425756630.0,12/2023,551,YES,1,22297.0,2017-05-01,2017
3595,1301,Visa,Debit,4420959167134444.0,09/2023,75,YES,1,20031.0,2015-06-01,2015
1481,1301,Mastercard,Debit,5016998590035219.0,02/2020,597,YES,2,30323.0,2020-02-01,2020
390,1301,Amex,Credit,308101000000000.0,04/2024,881,YES,1,19000.0,2020-01-01,2020
5743,1775,Visa,Debit,4997798155113400.0,11/2024,545,NO,1,17620.0,2019-11-01,2019
344,1775,Mastercard,Debit,5309940542589432.0,02/2020,924,YES,2,17201.0,2015-01-01,2015
423,1775,Discover,Credit,6108413838069051.0,08/2021,894,YES,1,8300.0,2020-01-01,2020
3759,1957,Mastercard,Debit (Prepaid),5878511318941183.0,10/2006,699,YES,1,26.0,2006-07-01,2019
5483,1957,Mastercard,Credit,5825403139414547.0,05/2013,531,YES,2,16300.0,2007-11-01,2009
3564,1024,Mastercard,Debit,5847313041147612.0,06/2024,574,YES,1,33103.0,2013-06-01,2013
4241,1024,Mastercard,Debit,5454341430423098.0,09/2023,247,YES,1,20847.0,2008-08-01,2010
5268,1024,Mastercard,Debit,5183724144988670.0,11/2013,569,YES,1,31807.0,2013-10-01,2013
1006,1024,Visa,Credit,4903105068681962.0,03/2024,274,YES,1,16100.0,2002-02-01,2014
2599,1103,Mastercard,Debit,5557896137687493.0,06/2023,598,YES,2,15409.0,2009-04-01,2010
4984,1103,Mastercard,Credit,5675172699563859.0,08/2023,294,YES,1,5300.0,2003-10-01,2012
2895,1103,Mastercard,Debit,5259283165298575.0,12/2016,403,YES,1,13469.0,2006-05-01,2009
3378,165,Mastercard,Debit (Prepaid),5874195902667119.0,04/2023,206,YES,2,61.0,2008-06-01,2015
5146,165,Mastercard,Debit,5803563077451662.0,11/2020,827,YES,2,40628.0,2009-10-01,2014
