id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
1844,79,72,1941,2,Male,829 Birch Boulevard,27.8,-97.39,23608.0,37503.0,14272.0,706,5
1852,57,75,1962,12,Male,41011 Seventh Boulevard,33.27,-111.94,32056.0,65357.0,21844.0,685,4
970,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81.0,21916.0,44681.0,42011.0,770,3
1296,60,64,1959,11,Female,2468 Spruce Drive,28.7,-81.34,22896.0,46683.0,93126.0,788,5
1880,61,66,1958,11,Male,8001 Essex Boulevard,43.06,-87.96,15487.0,31579.0,52419.0,771,3
322,47,65,1972,10,Male,708 George Street,31.22,-84.21,13759.0,28055.0,12475.0,829,3
461,42,68,1977,12,Female,28 Hillside Boulevard,42.3,-83.48,32078.0,65403.0,80057.0,784,4
1448,48,70,1971,12,Female,578 Maple Avenue,35.05,-82.09,18899.0,38539.0,0.0,850,3
1288,41,57,1978,7,Female,14 Valley Drive,38.47,-81.81,18666.0,38059.0,68220.0,634,2
1391,45,59,1975,2,Male,9604 Catherine Drive,40.72,-73.86,25109.0,51196.0,67164.0,631,4
1452,46,59,1973,5,Female,524 Ocean Drive,29.76,-95.38,95039.0,193773.0,241571.0,660,1
1602,41,66,1979,2,Female,2079 Maple Drive,40.38,-77.88,14650.0,29864.0,44902.0,717,2
1492,63,58,1957,2,Female,2883 Ocean View Boulevard,47.32,-121.99,32697.0,56635.0,13015.0,786,8
688,44,67,1975,3,Male,5125 Elm Drive,41.31,-111.96,23165.0,47227.0,151030.0,760,4
643,29,65,1991,1,Female,892 Spruce Street,40.69,-73.75,21283.0,43397.0,42168.0,697,2
1219,28,72,1991,6,Female,9977 Oak Avenue,38.68,-76.17,28497.0,58105.0,70254.0,688,3
1198,82,67,1937,6,Male,79 South Boulevard,29.5,-97.44,15092.0,10869.0,1820.0,820,2
898,90,66,1929,6,Female,145 River Drive,40.59,-75.47,12427.0,19893.0,1712.0,566,3
882,63,65,1956,8,Male,7605 Essex Boulevard,40.39,-82.47,18019.0,36743.0,71719.0,612,2
348,49,70,1970,7,Female,480 Seventh Lane,40.22,-74.76,22747.0,46377.0,79980.0,719,3
633,36,69,1983,10,Female,5506 Fifth Boulevard,33.88,-118.27,24611.0,50179.0,110515.0,743,1
1493,30,65,1989,11,Male,136 Spruce Street,38.22,-122.55,26748.0,54537.0,121987.0,765,4
217,42,65,1977,10,Male,272 Burns Boulevard,41.77,-87.82,15221.0,31031.0,21853.0,744,7
1877,65,66,1955,1,Male,190 Sixth Drive,32.92,-96.45,34659.0,70673.0,87605.0,714,4
668,87,57,1932,10,Female,8569 Wessex Boulevard,33.52,-86.79,13263.0,16342.0,1758.0,747,5
203,58,67,1961,3,Female,407 Park Lane,32.9,-80.93,14864.0,30305.0,23392.0,776,3
1487,59,69,1961,2,Female,4793 North Street,40.69,-80.01,39464.0,80464.0,76261.0,727,3
370,61,58,1958,11,Male,381 Fifth Lane,34.07,-117.62,16113.0,41904.0,12545.0,655,4
985,32,65,1987,6,Male,7276 Fourth Drive,42.8,-83.71,25334.0,51654.0,95454.0,600,4
135,64,69,1955,6,Female,327 Lafayette Boulevard,39.72,-82.59,18680.0,38088.0,51679.0,691,2
1783,52,70,1967,9,Male,2093 Ocean Street,37.78,-122.24,18443.0,37607.0,63689.0,749,5
1511,43,66,1977,1,Male,18 Norfolk Boulevard,43.07,-89.38,23680.0,48279.0,114254.0,719,2
900,36,65,1983,7,Male,977 Littlewood Avenue,30.17,-85.67,16133.0,32896.0,69800.0,735,2
233,37,64,1982,12,Female,896 Rose Street,44.96,-93.26,23278.0,47464.0,83591.0,716,1
1069,54,69,1965,9,Male,3683 Fifth Street,35.3,-81.03,22487.0,45852.0,114746.0,615,2
180,33,67,1986,7,Female,0 Elm Street,33.53,-112.18,13024.0,26556.0,43042.0,840,2
996,63,67,1956,11,Female,2302 Catherine Lane,26.02,-80.16,19712.0,40194.0,107765.0,738,6
1981,48,65,1972,1,Male,8975 Littlewood Boulevard,26.63,-81.99,19274.0,39303.0,23650.0,702,7
870,63,64,1956,3,Female,1389 Park Lane,38.64,-76.9,35114.0,71593.0,132181.0,821,3
16,75,67,1944,12,Male,2890 Eighth Lane,41.88,-87.84,15451.0,22158.0,19101.0,681,5
46,62,66,1957,6,Male,20 Littlewood Boulevard,40.66,-73.84,26481.0,53996.0,98211.0,632,4
697,56,73,1964,1,Female,889 Martin Luther King Avenue,35.72,-78.84,32485.0,66230.0,90248.0,742,3
1269,56,56,1963,10,Male,336 Rose Avenue,41.83,-87.68,25365.0,36335.0,28929.0,676,2
1782,59,61,1961,2,Female,4254 Plum Lane,33.74,-117.99,19438.0,39633.0,58586.0,777,3
1977,43,69,1976,8,Female,825 Sussex Avenue,41.5,-87.5,28048.0,57185.0,0.0,773,3
1913,60,57,1960,1,Female,561 Martin Luther King Avenue,42.47,-83.49,34259.0,31121.0,32768.0,619,5
858,47,67,1972,11,Male,335 Valley Stream Boulevard,29.5,-97.44,15092.0,30774.0,51428.0,700,3
1564,35,65,1984,10,Male,55 Ocean View Street,35.2,-101.81,18613.0,37947.0,49951.0,683,3
1301,26,66,1993,5,Female,9530 Washington Street,38.1,-122.63,30335.0,61850.0,81158.0,728,9
1775,26,67,1993,8,Male,2484 Norfolk Drive,38.91,-75.43,18622.0,37968.0,55982.0,788,3
1957,40,74,1979,9,Male,1977 Lake Avenue,34.15,-118.6,47055.0,95945.0,222735.0,772,2
1024,66,67,1953,4,Male,554 Grant Boulevard,37.69,-97.13,32162.0,65573.0,143069.0,739,4
1103,45,70,1974,5,Female,31 Jefferson Boulevard,47.09,-116.46,12618.0,25723.0,34007.0,746,3
165,34,65,1986,2,Male,95266 Bayview Drive,37.83,-122.22,52813.0,107683.0,225017.0,694,3
1758,57,66,1963,1,Male,126 Valley Drive,32.32,-90.2,11061.0,22556.0,43260.0,645,4
1266,35,54,1984,9,Female,239 South Drive,39.51,-76.17,22590.0,46063.0,106528.0,618,1
1115,53,73,1966,9,Male,94 Jefferson Drive,32.32,-95.3,14811.0,30198.0,40950.0,693,6
38,45,64,1974,12,Female,582 Birch Boulevard,26.63,-81.85,19621.0,40006.0,72794.0,621,1
1027,53,68,1966,5,Male,809 Mountain View Boulevard,38.88,-94.81,30232.0,61646.0,0.0,693,3
11,39,67,1980,10,Female,6339 Fourth Street,39.45,-76.81,33175.0,67643.0,0.0,714,6
871,86,71,1933,5,Female,81 Hill Avenue,42.38,-83.1,13820.0,22650.0,0.0,690,6
746,63,67,1956,10,Male,28136 Wessex Street,40.64,-73.94,14856.0,30288.0,42745.0,689,4
1520,67,65,1952,10,Male,8787 Rose Avenue,37.72,-122.44,22549.0,47213.0,1082.0,789,5
1799,32,55,1987,4,Male,3249 12th Drive,47.75,-122.04,51751.0,105515.0,192458.0,646,4
1905,36,68,1983,12,Male,9340 Valley Street,27.48,-82.57,13972.0,28489.0,6087.0,808,4
1155,83,65,1936,8,Female,387 Third Boulevard,31.5,-111.06,15462.0,29494.0,1196.0,689,5
663,68,63,1951,3,Female,6398 Lake Lane,35.92,-86.84,36563.0,70554.0,39078.0,655,5
1987,63,62,1956,9,Male,786 12th Drive,42.13,-87.92,23098.0,33686.0,24997.0,488,2
1484,92,72,1927,8,Female,290 Forest Street,32.28,-110.73,30818.0,57732.0,2261.0,726,6
1769,75,65,1944,7,Male,177 Mill Boulevard,39.69,-74.25,21861.0,46031.0,8332.0,661,5
1975,53,67,1967,2,Female,8224 Fourth Drive,41.55,-73.03,19114.0,38972.0,44098.0,738,3
227,48,66,1971,9,Male,496 Hill Lane,44.96,-93.26,40364.0,82295.0,1555.0,736,4
84,47,68,1972,9,Male,23068 Park Street,36.49,-81.5,12630.0,25748.0,41455.0,738,3
1684,56,65,1963,11,Male,27019 Madison Lane,36.34,-83.28,13668.0,27861.0,108313.0,782,5
1508,66,69,1953,4,Female,8929 Essex Drive,39.16,-86.52,19125.0,38999.0,64875.0,747,4
1427,34,66,1985,10,Female,326 Elm Lane,35.19,-80.83,49477.0,100880.0,210445.0,770,1
724,45,72,1974,5,Female,819 El Camino Boulevard,35.97,-96.76,17237.0,35142.0,107898.0,731,4
543,43,65,1976,3,Female,742 Lake Street,43.37,-124.14,15069.0,30721.0,49961.0,749,3
1559,56,67,1963,12,Female,607 George Boulevard,34.05,-84.67,28862.0,58846.0,126806.0,746,3
1397,32,72,1987,4,Male,5381 12th Boulevard,36.88,-94.87,17845.0,36388.0,92949.0,710,4
1728,47,63,1972,10,Female,2614 Eighth Lane,44.35,-89.07,18937.0,38615.0,74337.0,601,4
299,40,61,1979,7,Male,196 Plum Lane,40.84,-73.87,13845.0,28229.0,55675.0,622,5
1742,58,67,1961,11,Female,444 Maple Avenue,40.05,-86.03,24638.0,50232.0,1218.0,751,4
301,47,69,1972,11,Male,6009 River Avenue,34.24,-84.49,25654.0,52308.0,135319.0,679,1
906,75,69,1945,2,Male,6930 East Lane,40.57,-112.33,21749.0,21154.0,5764.0,705,6
110,52,72,1967,10,Female,31204 El Camino Lane,30.26,-97.74,25594.0,52186.0,42852.0,737,4
1073,43,70,1976,5,Female,967 First Avenue,41.19,-85.7,17294.0,35264.0,70328.0,770,2
705,84,71,1935,9,Female,136 Hillside Avenue,37.91,-122.01,42234.0,79870.0,4031.0,609,2
820,70,59,1949,12,Female,669 South Street,41.7,-70.3,26762.0,41902.0,29713.0,633,5
1128,47,68,1972,7,Male,208 Park Avenue,44.53,-72.0,16976.0,34606.0,23909.0,680,5
1479,32,60,1987,11,Male,335 Main Street,33.72,-84.42,13059.0,26631.0,33950.0,805,1
1594,39,64,1980,11,Male,532 12th Drive,27.98,-80.66,17645.0,35978.0,49366.0,643,3
1485,64,69,1955,10,Male,1350 Lake Drive,33.41,-96.57,24402.0,49756.0,89743.0,618,4
644,58,65,1961,3,Female,511 Grant Avenue,34.42,-84.11,20581.0,41963.0,53857.0,741,1
1584,27,69,1992,9,Male,9264 Lake Avenue,32.69,-97.01,22922.0,46733.0,34333.0,692,2
650,45,65,1974,8,Male,3916 Tenth Boulevard,32.75,-97.33,11876.0,24215.0,28552.0,707,6
762,49,59,1970,9,Male,813 Fifth Boulevard,40.63,-82.96,18293.0,37298.0,52134.0,683,1
1931,58,72,1961,6,Male,8996 Third Street,42.41,-71.16,40694.0,82974.0,181429.0,503,2
702,46,68,1973,7,Female,33 Tenth Street,40.84,-73.4,34873.0,71103.0,136853.0,721,4
918,43,75,1976,5,Female,5528 Lake Lane,40.32,-80.21,14320.0,29194.0,10895.0,703,2
1137,52,67,1967,10,Male,8824 Hillside Avenue,35.32,-82.46,16410.0,33465.0,98713.0,669,3
1406,36,68,1983,7,Male,57 Pine Boulevard,36.12,-95.91,11633.0,23718.0,1386.0,712,2
437,46,66,1973,6,Female,9528 Hill Street,39.04,-76.49,35645.0,72670.0,28915.0,718,3
891,38,66,1981,10,Female,177 Maple Boulevard,35.44,-94.35,17093.0,34854.0,40722.0,746,5
1147,80,69,1939,3,Male,614 Spruce Avenue,40.6,-74.76,46827.0,104692.0,6955.0,704,2
1664,38,66,1981,10,Male,311 Fifth Drive,42.27,-83.73,34119.0,69566.0,50003.0,791,4
1009,41,65,1979,1,Female,9059 Eighth Avenue,36.01,-82.15,14093.0,28733.0,0.0,702,3
1341,87,72,1932,8,Male,4713 First Boulevard,41.15,-85.48,19914.0,30349.0,2985.0,686,4
563,70,65,1950,1,Male,3485 Federal Avenue,39.87,-75.92,24725.0,49531.0,6707.0,737,6
1700,45,62,1975,1,Female,891 Fourth Avenue,40.81,-81.93,18962.0,38666.0,116783.0,822,1
963,24,70,1995,12,Female,8094 Catherine Lane,42.63,-71.32,20458.0,41714.0,54541.0,687,3
1586,43,65,1977,1,Male,2974 Grant Avenue,40.66,-73.7,27778.0,56640.0,104134.0,672,4
1286,53,67,1966,10,Female,456 Lincoln Boulevard,42.76,-78.74,30202.0,61578.0,85383.0,602,2
719,53,66,1966,11,Female,1959 Forest Street,42.27,-89.06,24589.0,50139.0,109623.0,767,3
1723,41,66,1978,10,Female,560 Summit Street,39.16,-89.48,17696.0,36080.0,80443.0,839,3
470,56,65,1964,2,Male,281 Martin Luther King Avenue,35.14,-96.49,14004.0,28553.0,94214.0,747,3
229,35,57,1984,6,Female,47428 First Boulevard,41.8,-91.49,29059.0,59248.0,173887.0,725,5
1512,44,65,1975,6,Male,6995 North Drive,39.77,-86.14,32865.0,67008.0,81402.0,778,8
1543,31,68,1988,10,Female,5857 12th Avenue,34.14,-118.46,51976.0,105963.0,106266.0,684,4
147,30,66,1989,4,Male,4096 Sussex Avenue,32.35,-86.28,27653.0,56383.0,130152.0,800,4
1941,38,78,1981,8,Male,2867 Federal Drive,33.14,-95.95,18934.0,38609.0,27463.0,740,3
901,48,66,1971,9,Male,96 11th Street,30.44,-87.18,17987.0,36671.0,39882.0,850,3
171,43,70,1976,5,Female,5194 Grant Street,34.83,-82.37,24314.0,49577.0,142314.0,694,3
1314,43,70,1976,11,Male,857 Jefferson Avenue,29.7,-98.11,19325.0,39404.0,71859.0,723,5
1560,61,60,1958,5,Female,1861 Fourth Boulevard,42.61,-94.14,18849.0,18452.0,16827.0,741,6
613,39,69,1980,9,Female,7549 Fourth Lane,41.87,-88.01,27741.0,56562.0,111495.0,712,4
346,90,74,1929,11,Female,495 Ocean View Lane,34.43,-119.68,25249.0,48580.0,1785.0,687,7
13,52,61,1967,6,Female,4222 Ocean View Drive,37.89,-85.96,15879.0,32378.0,65919.0,588,4
602,57,67,1963,1,Male,46 South Street,36.34,-79.67,16888.0,34437.0,0.0,681,4
657,83,68,1936,11,Female,2780 Martin Luther King Drive,44.45,-95.78,20697.0,33897.0,533.0,705,4
909,38,64,1981,5,Male,215 Ocean View Drive,47.11,-122.76,24044.0,49023.0,66148.0,583,5
1267,81,65,1938,10,Female,9574 Ocean Drive,47.83,-122.32,28248.0,31912.0,2182.0,630,4
350,62,70,1957,8,Female,102 Seventh Avenue,39.14,-76.77,28673.0,58463.0,141151.0,737,4
1323,36,68,1983,3,Female,28 Second Boulevard,32.34,-108.7,15407.0,31414.0,42233.0,719,4
421,53,67,1967,1,Female,595 Valley Stream Drive,41.97,-91.66,22502.0,45876.0,58252.0,790,7
354,77,72,1942,8,Female,9 Plum Boulevard,38.86,-104.76,22185.0,31942.0,11845.0,713,6
1613,39,65,1980,12,Male,4784 Park Boulevard,44.44,-69.83,21647.0,44134.0,0.0,792,4
586,37,63,1983,2,Male,372 12th Boulevard,35.57,-82.54,22983.0,46864.0,58954.0,751,4
119,44,67,1975,9,Female,60 Little Creek Avenue,36.16,-115.28,27761.0,56605.0,87970.0,624,3
1529,51,69,1968,4,Male,310 Birch Avenue,26.23,-80.13,37424.0,76305.0,112785.0,692,3
1596,42,69,1977,3,Male,188 Washington Avenue,34.28,-118.44,15583.0,31772.0,17286.0,734,4
714,61,67,1958,10,Female,72 Second Street,45.34,-122.66,35992.0,73383.0,155191.0,760,2
1425,88,67,1931,4,Female,95 Sixth Avenue,35.33,-89.88,19115.0,19225.0,1644.0,809,8
1645,62,65,1957,11,Female,58 Federal Lane,41.47,-81.85,29692.0,60541.0,160456.0,716,3
1863,44,61,1975,12,Female,25 Hill Drive,42.29,-85.22,21639.0,44124.0,107162.0,850,1
1576,88,65,1932,1,Female,2947 Lake Lane,42.66,-83.38,24578.0,36764.0,839.0,712,8
1268,47,63,1972,9,Male,857 Catherine Avenue,34.2,-86.15,14516.0,29597.0,44388.0,513,4
1842,45,64,1974,10,Male,41307 Main Lane,35.11,-106.62,15385.0,31373.0,58481.0,637,2
244,40,62,1979,7,Female,8100 Hill Avenue,30.58,-84.58,13144.0,26802.0,43444.0,638,2
145,58,65,1962,1,Female,645 Hillside Lane,36.18,-82.07,12427.0,25334.0,182.0,696,3
866,34,67,1985,3,Male,4591 Third Drive,40.43,-79.97,30361.0,61904.0,125358.0,639,3
1424,101,68,1918,5,Female,887 Third Boulevard,35.13,-112.99,13086.0,15348.0,1396.0,761,4
427,44,66,1975,11,Female,33 Pine Lane,36.15,-85.5,15955.0,32527.0,74331.0,705,3
684,51,63,1969,2,Male,1246 11th Boulevard,26.14,-80.13,21661.0,44170.0,90049.0,661,7
1300,58,66,1961,3,Male,4988 Ocean View Lane,31.13,-93.27,11324.0,23092.0,20545.0,752,4
1669,44,62,1975,5,Male,6308 Maple Avenue,38.66,-121.62,25234.0,51454.0,151162.0,698,4
845,58,72,1961,8,Male,860 Seventh Avenue,30.42,-86.61,18005.0,36710.0,116794.0,786,5
1518,62,70,1957,8,Male,313 Martin Luther King Boulevard,34.47,-86.8,18533.0,37785.0,81500.0,745,3
1591,58,66,1961,6,Female,2200 Third Drive,48.28,-122.62,16537.0,33717.0,58236.0,698,6
1629,42,63,1977,6,Female,53789 Bayview Street,26.14,-80.13,14430.0,29422.0,58679.0,598,1
675,40,67,1980,1,Male,42 Martin Luther King Drive,39.92,-77.8,17405.0,35489.0,91995.0,724,5
577,28,65,1992,1,Female,769 Madison Drive,32.07,-110.92,16238.0,33106.0,108695.0,763,2
1261,58,70,1961,7,Male,610 Oak Street,45.54,-122.64,33737.0,68787.0,171854.0,527,1
1227,65,67,1954,11,Female,727 Eighth Lane,42.37,-83.46,33031.0,67344.0,7049.0,804,4
840,68,64,1952,1,Female,651 Fourth Avenue,37.74,-122.44,51692.0,88432.0,63075.0,694,6
733,36,68,1983,7,Male,895 Lexington Lane,31.49,-97.23,26061.0,53138.0,153374.0,606,4
961,76,63,1944,2,Male,3031 Essex Street,28.2,-82.59,34909.0,26660.0,28332.0,721,4
78,37,63,1983,1,Male,5320 Mountain View Street,33.95,-118.29,12362.0,25205.0,65179.0,688,1
1334,38,65,1981,4,Female,17 Tenth Avenue,43.0,-78.87,19433.0,39627.0,47793.0,718,4
1610,42,66,1978,1,Female,12150 Mill Boulevard,32.32,-90.2,13717.0,27967.0,50159.0,690,2
780,74,66,1945,11,Male,41 Rose Lane,42.35,-71.22,56720.0,58378.0,73124.0,652,1
1340,53,68,1966,8,Male,815 Hillside Drive,29.76,-95.38,26420.0,53872.0,64269.0,691,5
1888,75,59,1944,6,Female,7854 Plum Avenue,44.65,-93.17,28429.0,41513.0,15899.0,748,3
247,49,69,1970,7,Female,704 East Drive,30.21,-93.2,26772.0,54587.0,69070.0,761,6
1208,38,72,1981,9,Male,9541 Ocean View Drive,40.59,-77.57,16375.0,33387.0,69066.0,526,3
1382,58,65,1961,7,Male,16 Eighth Lane,32.79,-96.76,12693.0,25883.0,44404.0,706,4
1217,59,66,1960,12,Female,584 Bayview Street,33.62,-112.0,22070.0,44992.0,53368.0,785,3
514,58,72,1961,8,Male,967 Norfolk Avenue,28.08,-80.6,15840.0,32295.0,72357.0,698,4
1276,82,66,1937,6,Female,7236 South Boulevard,41.83,-87.68,25365.0,41793.0,1141.0,730,5
875,39,71,1981,2,Male,5944 Grant Avenue,33.23,-87.54,20553.0,41907.0,87163.0,728,4
1546,48,61,1971,11,Male,70 Second Drive,43.3,-71.33,19781.0,40336.0,144284.0,668,4
519,57,67,1962,6,Female,839 East Avenue,36.14,-115.03,19377.0,39508.0,18870.0,770,4
1204,42,67,1977,6,Male,583 El Camino Boulevard,42.09,-70.7,34059.0,69440.0,129944.0,743,3
1133,30,66,1989,10,Female,781 Federal Street,43.11,-77.8,22855.0,46599.0,12700.0,684,4
582,53,63,1966,8,Male,415 Lafayette Drive,41.36,-85.23,19236.0,39222.0,66559.0,583,3
821,73,60,1946,7,Male,833 Elm Lane,29.76,-95.38,12434.0,18015.0,10463.0,645,2
1352,65,64,1954,3,Female,8437 Sixth Street,44.75,-85.6,20035.0,42102.0,9645.0,672,3
831,36,66,1983,10,Male,547 Norfolk Boulevard,41.29,-91.55,18302.0,37316.0,37515.0,726,2
1997,76,69,1943,8,Male,765 Forest Street,44.92,-93.4,39155.0,38800.0,25867.0,758,7
851,88,65,1931,10,Female,42 Fourth Avenue,38.21,-85.23,19620.0,31399.0,2528.0,757,4
1897,38,67,1981,3,Male,683 Washington Street,40.87,-73.4,51032.0,104049.0,247623.0,741,2
972,35,69,1984,5,Male,215 Plum Boulevard,31.84,-106.43,24608.0,50177.0,101323.0,681,4
1243,31,72,1989,1,Female,9316 Hillside Lane,40.27,-76.88,17110.0,34884.0,26799.0,705,5
1976,33,69,1986,3,Female,2552 Forest Avenue,39.61,-76.85,27906.0,56897.0,0.0,699,5
1606,49,66,1970,8,Male,9383 Martin Luther King Street,30.68,-88.04,25381.0,51755.0,88605.0,806,1
1201,60,66,1959,11,Male,175 Valley Drive,42.36,-71.36,56632.0,115465.0,195657.0,715,4
1317,41,68,1978,7,Female,26 Valley Stream Drive,39.39,-74.51,15157.0,30910.0,42507.0,749,4
662,32,71,1987,11,Female,670 Tenth Drive,41.86,-88.06,42028.0,85694.0,120733.0,822,2
847,81,68,1938,4,Female,864 Main Lane,35.78,-95.24,18585.0,27864.0,1371.0,591,6
280,40,66,1979,10,Female,3539 Lincoln Boulevard,37.92,-122.34,21869.0,44585.0,81825.0,684,5
1473,51,67,1968,11,Female,6541 Fourth Drive,37.04,-93.29,20316.0,41427.0,53773.0,850,3
65,51,72,1968,10,Female,4514 Elm Street,33.99,-81.08,16928.0,34517.0,74143.0,645,2
1353,50,65,1970,2,Female,655 Federal Avenue,40.46,-111.63,21232.0,43294.0,104521.0,816,7
1670,68,65,1951,12,Male,46 Lincoln Lane,33.82,-118.11,32079.0,50184.0,27778.0,732,4
1776,47,75,1972,10,Male,130 Lincoln Drive,40.04,-82.12,21156.0,43133.0,44263.0,693,3
951,57,66,1962,9,Female,381 Catherine Avenue,33.91,-118.23,13075.0,26664.0,12241.0,709,4
1818,85,65,1934,6,Female,23 11th Avenue,36.73,-76.04,29485.0,41843.0,1741.0,500,3
1789,40,65,1979,3,Female,57 West Boulevard,38.22,-86.86,18898.0,38527.0,36933.0,684,2
678,63,67,1957,2,Female,861 Martin Luther King Boulevard,42.88,-78.85,14456.0,29477.0,56355.0,850,4
757,62,65,1957,9,Female,956 Lincoln Boulevard,40.64,-73.94,22674.0,46232.0,68957.0,691,4
1603,41,65,1978,12,Male,6515 Hillside Drive,44.65,-114.15,19036.0,38812.0,16331.0,762,4
808,38,66,1981,11,Female,1583 Grant Lane,40.78,-73.24,17679.0,36045.0,0.0,683,3
1326,52,73,1968,2,Female,292 Maple Drive,40.49,-74.48,32610.0,66489.0,83828.0,731,2
1928,56,68,1963,7,Male,273 Ocean Street,45.79,-122.69,27308.0,55682.0,82696.0,750,4
1575,51,68,1968,5,Female,23 12th Boulevard,27.19,-82.49,28272.0,57646.0,127892.0,724,4
1455,36,67,1983,12,Male,83 Sixth Drive,32.72,-117.09,16838.0,34330.0,15223.0,713,4
1916,82,71,1937,4,Male,62696 Norfolk Drive,30.65,-84.69,15069.0,10142.0,1809.0,767,7
1617,30,60,1989,10,Male,105 Seventh Street,39.2,-76.85,37697.0,76867.0,118029.0,659,1
1176,39,64,1980,10,Male,2411 Hillside Lane,37.94,-87.4,28126.0,57348.0,119230.0,527,3
1194,49,70,1970,3,Male,2248 Third Avenue,35.06,-85.25,18658.0,38041.0,27813.0,782,4
580,35,65,1984,5,Male,5094 Lafayette Boulevard,40.55,-84.57,18077.0,36857.0,3112.0,768,3
4,54,72,1965,3,Female,6016 Little Creek Boulevard,47.61,-122.3,37485.0,76431.0,115362.0,716,5
530,78,68,1941,7,Male,34533 Ninth Avenue,34.06,-117.39,14709.0,18100.0,0.0,682,6
1826,45,61,1974,5,Female,94936 Elm Drive,28.92,-81.92,8155.0,16628.0,33926.0,654,1
595,79,66,1941,2,Male,132 Lexington Drive,36.5,-78.55,18100.0,29041.0,4427.0,699,4
1022,47,64,1972,12,Female,27 Summit Street,34.98,-80.54,17595.0,35876.0,50190.0,635,3
246,50,70,1969,9,Female,671 West Drive,44.96,-93.26,40364.0,82298.0,0.0,791,4
1945,56,70,1964,2,Female,7728 Oak Drive,34.72,-92.35,14736.0,30042.0,9208.0,727,4
1540,55,61,1964,9,Female,1513 Valley Boulevard,39.33,-84.54,21992.0,44839.0,63194.0,625,3
629,72,70,1947,5,Male,4388 Hillside Street,39.27,-76.83,39053.0,57513.0,11755.0,793,5
1211,66,68,1953,3,Female,644 South Drive,35.1,-90.0,18759.0,38249.0,0.0,746,4
823,41,65,1978,3,Female,858 Jefferson Avenue,36.7,-76.63,20353.0,41496.0,9222.0,807,2
89,35,67,1984,6,Male,7794 Ocean Street,32.27,-106.61,14822.0,30217.0,23394.0,705,4
888,53,67,1966,6,Male,817 Forest Street,34.86,-92.12,16462.0,33566.0,96597.0,698,1
81,66,68,1953,3,Female,804 Sixth Boulevard,29.57,-97.96,17440.0,35560.0,60397.0,723,5
826,67,60,1952,11,Female,563 Birch Drive,33.98,-83.88,26767.0,57705.0,22475.0,684,3
87,58,71,1961,5,Male,663 Second Boulevard,26.13,-97.63,11844.0,24155.0,2870.0,802,3
1833,27,71,1993,1,Male,5514 Norfolk Boulevard,35.58,-88.5,17179.0,35026.0,11468.0,743,5
